Director,Genre,Runtime
Jonathan Demme,"Crime, Drama, Thriller",118 min
Jonathan Demme,Drama,125 min
Jonathan Levine,"Comedy, Drama, Romance",100 min
Jonathan Lynn,"Comedy, Crime",120 min
Jordan Peele,"Horror, Mystery, Thriller",104 min
Joseph Kosinski,"Action, Biography, Drama",134 min
Joseph L. Mankiewicz,Drama,138 min
Joseph L. Mankiewicz,"Mystery, Thriller",138 min
Joseph Sargent,"Action, Crime, Thriller",104 min
Josh Boone,"Drama, Romance",126 min
Josh Cooley,"Animation, Adventure, Comedy",100 min
Joss Whedon,"Action, Adventure, Sci-Fi",143 min119 min
José Padilha,"Action, Crime, Drama",115 min115 min
Juan José Campanella,"Drama, Mystery, Romance",129 min
Jules Dassin,"Crime, Drama, Thriller",118 min
Julian Schnabel,"Biography, Drama",112 min
Kabir Khan,"Action, Adventure, Comedy",163 min
Kaige Chen,"Drama, Music, Romance",171 min
Kar-Wai Wong,"Comedy, Crime, Drama",102 min99 min
Kar-Wai Wong,"Drama, Romance",98 min
Karan Johar,Drama,165 min
Katsuhiro Ôtomo,"Animation, Action, Sci-Fi",124 min
Ken Annakin,"Action, Drama, History",178 min
Ken Loach,Drama,100 min
Kenneth Branagh,Drama,242 min
Kenneth Lonergan,Drama,137 min
Kevin Altieri,"Animation, Action, Crime",76 min
Kevin Costner,"Adventure, Drama, Western",181 min
Kevin Macdonald,"Biography, Drama, History",123 min
Kevin Reynolds,"Action, Adventure, Drama",131 min
Kevin Smith,Comedy,92 min
Ki-duk Kim,"Crime, Drama, Romance",88 min
Ki-duk Kim,"Drama, Romance",103 min
Kinji Fukasaku,"Action, Adventure, Drama",114 min
Krzysztof Kieslowski,"Comedy, Drama, Romance",92 min
Krzysztof Kieslowski,"Drama, Fantasy, Music",98 min
Krzysztof Kieslowski,"Drama, Music, Mystery",94 min
Krzysztof Kieslowski,"Drama, Mystery, Romance",99 min
Lana Wachowski,"Action, Sci-Fi",136 min
Lars von Trier,"Crime, Drama",178 min
Lars von Trier,"Crime, Drama, Musical",140 min
Lars von Trier,Drama,159 min
Lasse Hallström,"Biography, Drama, Family",93 min
Lasse Hallström,Drama,118 min
Lee Tamahori,"Crime, Drama",102 min
Lee Unkrich,"Animation, Adventure, Comedy",103 min
Lee Unkrich,"Animation, Adventure, Family",105 min
Lenny Abrahamson,"Drama, Thriller",118 min
Leo McCarey,"Comedy, Musical, War",69 min
Levent Semerci,"Action, Drama, Thriller",128 min
Lewis Milestone,"Drama, War",152 min
Louis Malle,"Drama, War",104 min
Luc Besson,"Action, Adventure, Sci-Fi",126 min
Luc Besson,"Action, Crime, Drama",110 min
Luca Guadagnino,"Drama, Romance",132 min
Luis Buñuel,Comedy,102 min
Luis Buñuel,"Drama, Fantasy",95 min
Luis Buñuel,"Drama, Romance",100 min
Lukas Moodysson,"Crime, Drama",109 min
M. Night Shyamalan,"Drama, Mystery, Thriller",107 min
Majid Majidi,"Drama, Family, Sport",89 min
Makoto Shinkai,"Animation, Drama, Fantasy",106 min
Mamoru Hosoda,"Animation, Adventure, Comedy",98 min
Mamoru Hosoda,"Animation, Drama, Fantasy",117 min
Mamoru Oshii,"Animation, Action, Crime",83 min
Marc Caro,"Comedy, Crime",99 min
Marc Forster,"Biography, Drama, Family",106 min
Marc Webb,"Comedy, Drama, Romance",95 min
Marc Webb,Drama,101 min
Mark Herman,"Drama, History, War",94 min
Mark Osborne,"Animation, Adventure, Drama",108 min
Mark Rydell,Drama,109 min
Martin Brest,Drama,156 min
Martin Campbell,"Action, Adventure, Thriller",144 min
Martin McDonagh,"Comedy, Crime, Drama",115 min107 min
Martin Rosen,"Animation, Adventure, Drama",91 min
Martin Scorsese,"Biography, Crime, Drama",146 min180 min209 min
Martin Scorsese,"Biography, Drama, Sport",129 min
Martin Scorsese,"Comedy, Crime, Drama",109 min97 min
Martin Scorsese,"Crime, Drama",114 min178 min
Martin Scorsese,"Crime, Drama, Thriller",151 min
Martin Scorsese,"Mystery, Thriller",138 min
Martin Zandvliet,"Drama, History, War",100 min
Mary Harron,"Comedy, Crime, Drama",101 min
Masaki Kobayashi,"Action, Drama, Mystery",133 min
Mathieu Kassovitz,"Crime, Drama",98 min
Matt Reeves,"Action, Adventure, Drama",130 min
Matt Ross,"Comedy, Drama",118 min
Matthew Vaughn,"Action, Adventure, Comedy",129 min
Matthew Vaughn,"Action, Adventure, Sci-Fi",131 min
Matthew Vaughn,"Action, Comedy, Crime",117 min
Matthew Vaughn,"Adventure, Family, Fantasy",127 min
Matthew Warchus,"Biography, Comedy, Drama",119 min
Meghna Gulzar,"Action, Drama, Thriller",138 min
Meghna Gulzar,"Crime, Drama, Mystery",132 min
Mehmet Ada Öztekin,Drama,132 min
Mel Brooks,Comedy,106 min
Mel Brooks,"Comedy, Western",93 min
Mel Gibson,"Action, Adventure, Drama",139 min
Mel Gibson,"Biography, Drama, History",178 min139 min
Mel Stuart,"Family, Fantasy, Musical",100 min
Merian C. Cooper,"Adventure, Horror, Sci-Fi",100 min
Michael Cimino,"Drama, War",183 min
Michael Curtiz,"Action, Adventure, Romance",102 min
Michael Curtiz,"Drama, Romance, War",102 min
Michael Haneke,"Crime, Drama, Thriller",108 min
Michael Haneke,"Drama, History, Mystery",144 min
Michael Haneke,"Drama, Romance",127 min
Michael Mann,"Action, Adventure, Drama",112 min
Michael Mann,"Biography, Drama, Thriller",157 min
Michael Mann,"Crime, Drama, Thriller",170 min
Michael Powell,"Drama, Horror, Thriller",101 min
Michael Powell,"Drama, Music, Romance",135 min
Michael Radford,"Biography, Comedy, Drama",108 min
Michel Gondry,"Drama, Romance, Sci-Fi",108 min
Michel Hazanavicius,"Comedy, Drama, Romance",100 min
Michelangelo Antonioni,"Drama, Mystery",144 min
Michelangelo Antonioni,"Drama, Mystery, Thriller",111 min
Mikael Håfström,Drama,113 min
Mike Judge,Comedy,89 min
Mike Leigh,"Comedy, Drama",136 min132 min
Mike Newell,"Adventure, Family, Fantasy",157 min
Mike Newell,"Biography, Crime, Drama",127 min
Mike Nichols,"Comedy, Drama, Romance",106 min
Mike Nichols,Drama,131 min
Milos Forman,"Biography, Drama, History",160 min
Milos Forman,Drama,133 min
Morten Tyldum,"Biography, Drama, Thriller",114 min
Moustapha Akkad,"Biography, Drama, History",177 min
Mukesh Chhabra,"Comedy, Drama, Romance",101 min
Nadine Labaki,Drama,126 min
Naoko Yamada,"Animation, Drama, Family",130 min
Nathan Greno,"Animation, Adventure, Comedy",100 min
Neeraj Pandey,"Action, Crime, Drama",104 min
Neeraj Pandey,"Action, Crime, Thriller",159 min
Neeraj Pandey,"Biography, Drama, Sport",184 min
Neeraj Pandey,"Crime, Drama, Thriller",144 min
Neil Burger,"Drama, Fantasy, Mystery",110 min
Neill Blomkamp,"Action, Sci-Fi, Thriller",112 min
Nicholas Meyer,"Action, Adventure, Sci-Fi",113 min
Nicholas Ray,Drama,111 min
Nicholas Ray,"Drama, Film-Noir, Mystery",94 min
Nick Cassavetes,"Drama, Romance",123 min
Nicolas Winding Refn,"Crime, Drama",100 min
Niels Arden Oplev,"Crime, Drama, Mystery",152 min
Nikkhil Advani,"Comedy, Drama, Musical",186 min
Nishikant Kamat,"Crime, Drama, Mystery",163 min
Nitesh Tiwari,"Action, Biography, Drama",161 min
Nitesh Tiwari,"Comedy, Drama",143 min
Noah Baumbach,"Comedy, Drama, Romance",137 min
Norman Jewison,"Biography, Drama, Sport",146 min
Norman Jewison,"Crime, Drama, Mystery",110 min
Norman Jewison,"Drama, Family, Musical",181 min
Nuri Bilge Ceylan,"Crime, Drama",157 min
Nuri Bilge Ceylan,Drama,196 min
Oliver Hirschbiegel,"Biography, Drama, History",156 min
Oliver Hirschbiegel,"Drama, Thriller",120 min
Oliver Stone,"Drama, History, Thriller",189 min
Oliver Stone,"Drama, War",120 min
Olivier Dahan,"Biography, Drama, Music",140 min
Olivier Nakache,"Biography, Comedy, Drama",112 min
Oriol Paulo,"Crime, Drama, Mystery",106 min
Oriol Paulo,"Mystery, Thriller",112 min
Orson Welles,"Crime, Drama, Film-Noir",95 min
Orson Welles,"Drama, Mystery",119 min
Otto Preminger,"Crime, Drama, Mystery",161 min
Otto Preminger,"Drama, Film-Noir, Mystery",88 min
Paolo Genovese,"Comedy, Drama",96 min
Paolo Sorrentino,Drama,141 min
Paul Greengrass,"Action, Mystery, Thriller",115 min108 min
Paul Greengrass,"Adventure, Biography, Crime",134 min
Paul Haggis,"Crime, Drama, Thriller",112 min
Paul King,"Adventure, Comedy, Family",103 min
Paul McGuigan,"Action, Crime, Drama",110 min
Paul Thomas Anderson,Drama,158 min188 min155 min
Paul Verhoeven,"Drama, Thriller, War",145 min
Pedro Almodóvar,Drama,101 min
Pedro Almodóvar,"Drama, Horror, Thriller",120 min
Pedro Almodóvar,"Drama, Mystery, Romance",112 min
Penny Marshall,"Biography, Drama",121 min
Pete Docter,"Animation, Adventure, Comedy",96 min100 min95 min92 min
Peter Bogdanovich,"Comedy, Crime, Drama",102 min
Peter Bogdanovich,"Drama, Romance",118 min
Peter Farrelly,"Biography, Comedy, Drama",130 min
Peter Jackson,"Action, Adventure, Drama",201 min178 min179 min
Peter Jackson,"Adventure, Fantasy",161 min169 min
Peter Mullan,Drama,114 min
Peter Weir,"Comedy, Drama",103 min128 min
Philip Kaufman,"Adventure, Biography, Drama",193 min
Pierre Coffin,"Animation, Comedy, Crime",95 min
Pierre Morel,"Action, Thriller",90 min
Prashanth Neel,"Action, Drama",156 min
Priyadarshan,"Action, Comedy, Crime",156 min
Quentin Tarantino,"Action, Crime, Drama",111 min
Quentin Tarantino,"Action, Crime, Thriller",137 min
Quentin Tarantino,"Adventure, Drama, War",153 min
Quentin Tarantino,"Comedy, Drama",161 min
Quentin Tarantino,"Crime, Drama",154 min
Quentin Tarantino,"Crime, Drama, Mystery",168 min
Quentin Tarantino,"Crime, Drama, Thriller",99 min
Quentin Tarantino,"Drama, Western",165 min
Rahi Anil Barve,"Drama, Fantasy, Horror",104 min
Raja Menon,"Drama, History",130 min
Rajkumar Hirani,"Comedy, Drama",170 min
Rajkumar Hirani,"Comedy, Drama, Musical",153 min156 min
Rajkumar Hirani,"Comedy, Drama, Romance",144 min
Rajkumar Santoshi,"Action, Comedy, Romance",160 min
Rakeysh Omprakash Mehra,"Biography, Drama, Sport",186 min
Rakeysh Omprakash Mehra,"Comedy, Crime, Drama",167 min
Ramesh Sippy,"Action, Adventure, Comedy",204 min
Raoul Walsh,"Action, Crime, Drama",114 min
René Laloux,"Animation, Sci-Fi",72 min
Rian Johnson,"Comedy, Crime, Drama",130 min
Rich Moore,"Animation, Adventure, Comedy",101 min
Richard Attenborough,"Biography, Drama, History",191 min
Richard Brooks,Drama,108 min
Richard Curtis,"Comedy, Drama, Fantasy",123 min
Richard Donner,"Action, Crime, Thriller",109 min
Richard Donner,"Adventure, Comedy, Family",114 min
Richard Kelly,"Drama, Mystery, Sci-Fi",113 min
Richard Lester,"Comedy, Music, Musical",87 min
Richard Linklater,"Animation, Drama, Fantasy",99 min
Richard Linklater,Comedy,102 min
Richard Linklater,Drama,165 min
Richard Linklater,"Drama, Romance",80 min101 min109 min
Richard Marquand,"Action, Adventure, Fantasy",131 min
Richard Schenkman,"Drama, Fantasy, Mystery",87 min
Ridley Scott,"Action, Adventure, Drama",155 min
Ridley Scott,"Action, Sci-Fi, Thriller",117 min
Ridley Scott,"Adventure, Drama, Sci-Fi",144 min
Ridley Scott,"Biography, Crime, Drama",157 min
Ridley Scott,"Drama, History, War",144 min
Ridley Scott,"Horror, Sci-Fi",117 min
Ritesh Batra,"Drama, Romance",104 min
Rob Reiner,"Adventure, Drama",89 min
Rob Reiner,"Adventure, Family, Fantasy",98 min
Rob Reiner,"Comedy, Drama, Romance",90 min95 min
Rob Reiner,"Comedy, Music",82 min
Rob Reiner,"Drama, Thriller",107 min138 min
Robert Aldrich,"Action, Adventure, War",150 min
Robert Aldrich,"Drama, Horror, Thriller",134 min
Robert Altman,"Comedy, Crime, Drama",112 min
Robert Altman,"Comedy, Drama",188 min
Robert Benton,Drama,105 min
Robert Clouse,"Action, Crime, Drama",102 min
Robert De Niro,"Crime, Drama, Romance",121 min
Robert Hamer,"Comedy, Crime",106 min
Robert Mulligan,"Crime, Drama",129 min
Robert Redford,Drama,124 min
Robert Rossen,"Drama, Sport",134 min
Robert Stevenson,"Comedy, Family, Fantasy",139 min
Robert Wiene,"Fantasy, Horror, Mystery",76 min
Robert Wise,"Biography, Drama, Family",172 min
Robert Wise,"Drama, Sci-Fi",92 min
Robert Zemeckis,"Adventure, Comedy, Sci-Fi",116 min108 min
Robert Zemeckis,"Adventure, Drama, Romance",143 min
Robert Zemeckis,"Animation, Adventure, Comedy",104 min
Robert Zemeckis,"Drama, Romance",142 min
Roberto Benigni,"Comedy, Drama, Romance",116 min
Roger Allers,"Animation, Adventure, Drama",88 min
Roger Donaldson,"Biography, Drama, Sport",127 min
Roland Joffé,"Biography, Drama, History",141 min
Roman Polanski,"Biography, Drama, Music",150 min
Roman Polanski,"Drama, Horror",137 min
Roman Polanski,"Drama, Horror, Thriller",105 min
Roman Polanski,"Drama, Mystery, Thriller",130 min
Roman Polanski,"Drama, Thriller",126 min
Ron Clements,"Animation, Adventure, Comedy",90 min107 min
Ron Clements,"Animation, Family, Fantasy",83 min
Ron Howard,"Action, Biography, Drama",123 min
Ron Howard,"Adventure, Drama, History",140 min
Ron Howard,"Biography, Drama",135 min
Ron Howard,"Biography, Drama, History",144 min122 min
Ronny Yu,"Action, Biography, Drama",104 min
Ruben Fleischer,"Adventure, Comedy, Fantasy",88 min
Ryan Coogler,"Drama, Sport",133 min
S.S. Rajamouli,"Action, Drama",167 min159 min
Sam Mendes,"Action, Adventure, Thriller",143 min
Sam Mendes,"Crime, Drama, Thriller",117 min
Sam Mendes,Drama,122 min
Sam Mendes,"Drama, Thriller, War",119 min
Sam Peckinpah,"Action, Adventure, Western",145 min
Sam Raimi,"Action, Comedy, Fantasy",84 min
Sam Wood,"Comedy, Music, Musical",96 min
Sanjay Leela Bhansali,Drama,122 min
Satoshi Kon,"Animation, Adventure, Comedy",90 min
Satoshi Kon,"Animation, Crime, Mystery",81 min
Satoshi Kon,"Animation, Drama, Fantasy",90 min
Scott Hicks,"Biography, Drama, Music",105 min
Sean Baker,Drama,111 min
Sean Penn,"Adventure, Biography, Drama",148 min
Sebastian Schipper,"Crime, Drama, Romance",138 min
Sergei M. Eisenstein,"Drama, History, Thriller",75 min
Sergio Leone,"Action, Drama, Western",99 min
Sergio Leone,"Crime, Drama",229 min
Sergio Leone,"Drama, War, Western",157 min
Sergio Leone,Western,161 min165 min132 min
Sergio Pablos,"Animation, Adventure, Comedy",96 min
Shane Meadows,"Crime, Drama",101 min
Shane Meadows,"Crime, Drama, Thriller",90 min
Shimit Amin,"Drama, Family, Sport",153 min
Shin'ichirô Watanabe,"Animation, Action, Crime",115 min
Shoojit Sircar,"Comedy, Romance",126 min
Shûsuke Kaneko,"Crime, Drama, Fantasy",126 min
Sidney Lumet,"Biography, Crime, Drama",125 min130 min
Sidney Lumet,"Crime, Drama",96 min
Sidney Lumet,Drama,121 min129 min
Sofia Coppola,"Comedy, Drama",102 min
Spike Jonze,"Comedy, Drama",115 min
Spike Jonze,"Comedy, Drama, Fantasy",113 min
Spike Jonze,"Drama, Romance, Sci-Fi",126 min
Spike Lee,"Biography, Drama, History",202 min
Spike Lee,"Comedy, Drama",120 min
Spike Lee,"Crime, Drama, Mystery",129 min
Spike Lee,Drama,135 min
Sriram Raghavan,"Crime, Drama, Music",139 min
Stanley Donen,"Comedy, Musical, Romance",103 min
Stanley Donen,"Comedy, Mystery, Romance",113 min
Stanley Kramer,"Biography, Drama, History",128 min
Stanley Kramer,"Comedy, Drama",108 min
Stanley Kramer,"Drama, War",179 min
Stanley Kubrick,"Adventure, Biography, Drama",197 min
Stanley Kubrick,"Adventure, Drama, History",185 min
Stanley Kubrick,"Adventure, Sci-Fi",149 min
Stanley Kubrick,Comedy,95 min
Stanley Kubrick,"Crime, Drama, Film-Noir",84 min
Stanley Kubrick,"Crime, Drama, Sci-Fi",136 min
Stanley Kubrick,"Drama, Horror",146 min
Stanley Kubrick,"Drama, War",88 min116 min
Stephen Chbosky,"Drama, Family",113 min
Stephen Chbosky,"Drama, Romance",103 min
Stephen Chow,"Action, Comedy, Fantasy",99 min
Stephen Daldry,"Drama, Music",110 min
Stephen Frears,"Biography, Comedy, Drama",98 min
Steve McQueen,"Biography, Drama, History",134 min
Steven Soderbergh,"Crime, Thriller",116 min
Steven Spielberg,"Action, Adventure",115 min127 min
Steven Spielberg,"Action, Adventure, Sci-Fi",127 min
Steven Spielberg,"Action, Crime, Mystery",145 min
Steven Spielberg,"Action, Drama, History",153 min
Steven Spielberg,"Adventure, Thriller",124 min
Steven Spielberg,"Biography, Crime, Drama",141 min
Steven Spielberg,"Biography, Drama, History",195 min
Steven Spielberg,Drama,154 min
Steven Spielberg,"Drama, History, Thriller",142 min
Steven Spielberg,"Drama, Sci-Fi",138 min
Steven Spielberg,"Drama, War",169 min
Steven Spielberg,"Family, Sci-Fi",115 min
Stuart Rosenberg,"Crime, Drama",127 min
Sudha Kongara,Drama,153 min
Sujoy Ghosh,"Mystery, Thriller",122 min
Susanne Bier,Drama,120 min
Susanne Bier,"Drama, Romance",118 min
Sylvain Chomet,"Animation, Comedy, Drama",80 min
Taika Waititi,"Action, Adventure, Comedy",130 min
Taika Waititi,"Adventure, Comedy, Drama",101 min
Taika Waititi,"Comedy, Drama, War",108 min
Takeshi Kitano,"Crime, Drama, Romance",103 min
Tarsem Singh,"Adventure, Drama, Fantasy",117 min
Tate Taylor,Drama,146 min
Taylor Hackford,"Biography, Drama, Music",152 min
Taylor Hackford,"Crime, Drama",180 min
Taylor Sheridan,"Crime, Drama, Mystery",107 min
Ted Demme,"Biography, Crime, Drama",124 min
Ted Kotcheff,"Action, Adventure",93 min
Terence Young,Thriller,108 min
Terrence Malick,"Action, Crime, Drama",94 min
Terrence Malick,"Drama, Romance",94 min
Terrence Malick,"Drama, War",170 min
Terry George,"Biography, Drama, History",121 min
Terry Gilliam,"Adventure, Comedy, Drama",118 min
Terry Gilliam,"Adventure, Comedy, Fantasy",91 min
Terry Gilliam,"Drama, Sci-Fi",132 min
Terry Gilliam,"Mystery, Sci-Fi, Thriller",129 min
Terry Jones,Comedy,94 min
Tetsuya Nakashima,"Drama, Thriller",106 min
Theodore Melfi,"Biography, Drama, History",127 min
Thomas Jahn,"Action, Crime, Comedy",87 min
Thomas Kail,"Biography, Drama, History",160 min
Thomas Vinterberg,"Comedy, Drama",117 min
Thomas Vinterberg,Drama,115 min105 min
Tigmanshu Dhulia,"Action, Biography, Crime",135 min
Tim Burton,"Adventure, Drama, Fantasy",125 min
Tim Burton,"Biography, Comedy, Drama",127 min
Tim Burton,"Drama, Fantasy, Romance",105 min
Tim Miller,"Action, Adventure, Comedy",108 min
Tod Browning,"Drama, Horror",64 min
Todd Haynes,"Biography, Drama, History",126 min
Todd Phillips,Comedy,100 min
Todd Phillips,"Crime, Drama, Thriller",122 min
Todd Solondz,"Comedy, Drama",134 min
Tom Hooper,"Biography, Drama, History",118 min
Tom McCarthy,"Biography, Crime, Drama",129 min
Tom McCarthy,"Comedy, Drama",89 min
Tom McCarthy,Drama,104 min
Tom Tykwer,"Crime, Drama, Thriller",81 min
Tomas Alfredson,"Crime, Drama, Fantasy",114 min
Tomm Moore,"Animation, Adventure, Drama",93 min
Tomm Moore,"Animation, Adventure, Family",71 min
Tony Bancroft,"Animation, Adventure, Family",88 min
Tony Kaye,Drama,119 min98 min
Tony Scott,"Action, Crime, Drama",146 min
Tony Scott,"Crime, Drama, Romance",119 min
Travis Knight,"Animation, Action, Adventure",101 min
Trey Parker,"Animation, Comedy, Fantasy",81 min
Troy Duffy,"Action, Crime, Thriller",108 min
Tyler Nilson,"Adventure, Comedy, Drama",97 min
Umesh Shukla,"Comedy, Drama, Fantasy",125 min
Victor Fleming,"Adventure, Family, Fantasy",102 min
Victor Fleming,"Drama, History, Romance",238 min
Vikas Bahl,"Adventure, Comedy, Drama",146 min
Vikramaditya Motwane,Drama,134 min
Vincent Paronnaud,"Animation, Biography, Drama",96 min
Vishal Bhardwaj,"Action, Crime, Drama",160 min
Vittorio De Sica,Drama,89 min
W.S. Van Dyke,"Comedy, Crime, Mystery",91 min
Walter Hill,"Action, Crime, Thriller",92 min
Walter Salles,"Adventure, Biography, Drama",126 min
Walter Salles,Drama,110 min
Werner Herzog,"Action, Adventure, Biography",95 min
Werner Herzog,"Adventure, Drama",158 min
Wes Anderson,"Adventure, Comedy, Crime",99 min
Wes Anderson,"Animation, Adventure, Comedy",101 min87 min
Wes Anderson,"Comedy, Drama",110 min
Wes Anderson,"Comedy, Drama, Romance",94 min93 min
William Friedkin,"Action, Crime, Drama",104 min
William Friedkin,Horror,122 min
William Wyler,"Adventure, Drama, History",212 min
William Wyler,"Comedy, Romance",118 min
William Wyler,"Drama, Romance, War",170 min
Wilson Yip,"Action, Biography, Drama",106 min
Wim Wenders,Drama,145 min
Wim Wenders,"Drama, Fantasy, Romance",128 min
Wolfgang Becker,"Comedy, Drama, Romance",121 min
Wolfgang Petersen,"Adventure, Drama, Thriller",149 min
Wolfgang Reitherman,"Animation, Adventure, Family",78 min
Woody Allen,Comedy,79 min
Woody Allen,"Comedy, Drama",104 min107 min
Woody Allen,"Comedy, Drama, Romance",96 min
Woody Allen,"Comedy, Fantasy, Romance",96 min82 min
Woody Allen,"Comedy, Romance",93 min
Woody Allen,"Comedy, War",85 min
Woody Allen,"Drama, Romance, Thriller",124 min
Xavier Dolan,Drama,139 min
Yann Samuell,"Comedy, Drama, Romance",93 min
Yash Chopra,"Drama, Family, Musical",192 min
Yasujirô Ozu,Drama,136 min
Yavuz Turgul,"Crime, Drama, Thriller",128 min
Yilmaz Erdogan,"Comedy, Drama",110 min
Yimou Zhang,"Action, Adventure, History",120 min
Yimou Zhang,"Drama, History, Romance",125 min
Yoshiaki Kawajiri,"Animation, Action, Adventure",94 min
Yoshiaki Kawajiri,"Animation, Action, Fantasy",103 min
Yoshifumi Kondô,"Animation, Drama, Family",111 min
Yôjirô Takita,"Drama, Music",130 min
Zack Snyder,"Action, Drama",117 min
Zack Snyder,"Action, Drama, Mystery",162 min
Zaza Urushadze,"Drama, War",87 min
Zoya Akhtar,"Comedy, Drama",155 min
Zoya Akhtar,"Drama, Music, Romance",154 min
Çagan Irmak,"Drama, Family",112 min
Ömer Faruk Sorak,"Adventure, Comedy, Sci-Fi",127 min
